"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU12","SRR15146548","SRR3000884","SRR14766335","NDSU4","SRR14766329","SRR6502082","SRR14766451","SRR2994394","SRR10037243","SRR5928610","SRR5877168","SRR3000893","SRR1363292","SRR19431269"
"ttrS","","Tetrathionate sensor histidine kinase TtrS",580,580,1,1,5254,NA,NA,"",1778,1778,1778,"KMJDPIGG_00485","EGKOAKEK_00486","EFNNPMIA_03137","EMDCPPMA_00079","MLOHFGPA_03391","LGNMAAMO_01111","NAFOOFAA_00570","JKFJINKE_01846","NNGIMOCL_01076","OAJCOHFM_00486","FCBEKDAD_00294","ABGDGJIO_03215","NNFNPJIH_00151","HECGGPDK_00250","KFNBBHOJ_00485"
"rhaS_1","","HTH-type transcriptional activator RhaS",580,580,1,1,5287,NA,NA,"",584,584,584,"KMJDPIGG_00515","EGKOAKEK_00516","EFNNPMIA_03167","EMDCPPMA_00109","MLOHFGPA_03361","LGNMAAMO_01141","NAFOOFAA_00540","JKFJINKE_01876","NNGIMOCL_01106","OAJCOHFM_00516","FCBEKDAD_00264","ABGDGJIO_03245","NNFNPJIH_00121","HECGGPDK_00220","KFNBBHOJ_00515"
"fixB_1","","Protein FixB",580,580,1,1,5289,NA,NA,"",935,935,935,"KMJDPIGG_00517","EGKOAKEK_00518","EFNNPMIA_03169","EMDCPPMA_00111","MLOHFGPA_03359","LGNMAAMO_01143","NAFOOFAA_00538","","NNGIMOCL_01108","OAJCOHFM_00518","FCBEKDAD_00262","ABGDGJIO_03247","NNFNPJIH_00119","HECGGPDK_00218","KFNBBHOJ_00517"
"ppsA","","Phosphoenolpyruvate synthase",580,580,1,1,5293,NA,NA,"",2378,2378,2378,"KMJDPIGG_00521","EGKOAKEK_00522","EFNNPMIA_03173","EMDCPPMA_00115","MLOHFGPA_03355","LGNMAAMO_01147","NAFOOFAA_00534","JKFJINKE_01077","NNGIMOCL_01112","OAJCOHFM_00522","FCBEKDAD_00258","ABGDGJIO_03251","NNFNPJIH_00115","HECGGPDK_00214","KFNBBHOJ_00521"
"ppsR","","Phosphoenolpyruvate synthase regulatory protein",580,580,1,1,5294,NA,NA,"",833,833,833,"KMJDPIGG_00522","EGKOAKEK_00523","EFNNPMIA_03174","EMDCPPMA_00116","MLOHFGPA_03354","LGNMAAMO_01148","NAFOOFAA_00533","JKFJINKE_01078","NNGIMOCL_01113","OAJCOHFM_00523","FCBEKDAD_00257","ABGDGJIO_03252","NNFNPJIH_00114","HECGGPDK_00213","KFNBBHOJ_00522"
"aroH","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",580,580,1,1,5295,NA,NA,"",1046,1046,1046,"KMJDPIGG_00523","EGKOAKEK_00524","EFNNPMIA_03175","EMDCPPMA_00117","MLOHFGPA_03353","LGNMAAMO_01149","NAFOOFAA_00532","JKFJINKE_01079","NNGIMOCL_01114","OAJCOHFM_00524","FCBEKDAD_00256","ABGDGJIO_03253","NNFNPJIH_00113","HECGGPDK_00212","KFNBBHOJ_00523"
"ydiE","","putative protein YdiE",580,580,1,1,5296,NA,NA,"",191,191,191,"KMJDPIGG_00524","EGKOAKEK_00525","EFNNPMIA_03176","EMDCPPMA_00118","MLOHFGPA_03352","LGNMAAMO_01150","NAFOOFAA_00531","JKFJINKE_01080","NNGIMOCL_01115","OAJCOHFM_00525","FCBEKDAD_00255","ABGDGJIO_03254","NNFNPJIH_00112","HECGGPDK_00211","KFNBBHOJ_00524"
"ydiV_2","","Anti-FlhC(2)FlhD(4) factor YdiV",580,580,1,1,5299,NA,NA,"",713,713,713,"KMJDPIGG_00526","EGKOAKEK_00527","EFNNPMIA_03178","EMDCPPMA_00120","MLOHFGPA_01277","LGNMAAMO_01152","NAFOOFAA_00529","JKFJINKE_01082","NNGIMOCL_01117","OAJCOHFM_00527","FCBEKDAD_00253","ABGDGJIO_03256","NNFNPJIH_00110","HECGGPDK_00209","KFNBBHOJ_00526"
"mepS_1","","Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase",580,580,1,1,5300,NA,NA,"",464,464,464,"KMJDPIGG_00527","EGKOAKEK_00528","EFNNPMIA_03179","EMDCPPMA_00121","MLOHFGPA_01276","LGNMAAMO_01153","NAFOOFAA_00528","JKFJINKE_01083","NNGIMOCL_01118","OAJCOHFM_00528","FCBEKDAD_00252","ABGDGJIO_03257","NNFNPJIH_00109","HECGGPDK_00208","KFNBBHOJ_00527"
"btuD_2","","Vitamin B12 import ATP-binding protein BtuD",580,580,1,1,5301,NA,NA,"",749,749,749,"KMJDPIGG_00528","EGKOAKEK_00529","EFNNPMIA_03180","EMDCPPMA_00122","MLOHFGPA_01275","LGNMAAMO_01154","NAFOOFAA_00527","JKFJINKE_01084","NNGIMOCL_01119","OAJCOHFM_00529","FCBEKDAD_00251","ABGDGJIO_03258","NNFNPJIH_00108","HECGGPDK_00207","KFNBBHOJ_00528"
"btuE","","Thioredoxin/glutathione peroxidase BtuE",580,580,1,1,5302,NA,NA,"",551,551,551,"KMJDPIGG_00529","EGKOAKEK_00530","EFNNPMIA_03181","EMDCPPMA_00123","MLOHFGPA_01274","LGNMAAMO_01155","NAFOOFAA_00526","JKFJINKE_01085","NNGIMOCL_01120","OAJCOHFM_00530","FCBEKDAD_00250","ABGDGJIO_03259","NNFNPJIH_00107","HECGGPDK_00206","KFNBBHOJ_00529"
"btuC","","Vitamin B12 import system permease protein BtuC",580,580,1,1,5303,NA,NA,"",980,980,980,"KMJDPIGG_00530","EGKOAKEK_00531","EFNNPMIA_03182","EMDCPPMA_00124","MLOHFGPA_01273","LGNMAAMO_01156","NAFOOFAA_00525","JKFJINKE_01086","NNGIMOCL_01121","OAJCOHFM_00531","FCBEKDAD_00249","ABGDGJIO_03260","NNFNPJIH_00106","HECGGPDK_00205","KFNBBHOJ_00530"
"ihfA","","Integration host factor subunit alpha",580,580,1,1,5304,NA,NA,"",299,299,299,"KMJDPIGG_00531","EGKOAKEK_00532","EFNNPMIA_03183","EMDCPPMA_00125","MLOHFGPA_01272","LGNMAAMO_01157","NAFOOFAA_00524","JKFJINKE_01087","NNGIMOCL_01122","OAJCOHFM_00532","FCBEKDAD_00248","ABGDGJIO_03261","NNFNPJIH_00105","HECGGPDK_00204","KFNBBHOJ_00531"
"pheT","","Phenylalanine--tRNA ligase beta subunit",580,580,1,1,5305,NA,NA,"",2387,2387,2387,"KMJDPIGG_00532","EGKOAKEK_00533","EFNNPMIA_03184","EMDCPPMA_00126","MLOHFGPA_01271","LGNMAAMO_01158","NAFOOFAA_00523","JKFJINKE_01088","NNGIMOCL_01123","OAJCOHFM_00533","FCBEKDAD_00247","ABGDGJIO_03262","NNFNPJIH_00104","HECGGPDK_00203","KFNBBHOJ_00532"
"cedA","","Cell division activator CedA",580,580,1,1,5326,NA,NA,"",242,242,242,"KMJDPIGG_00550","EGKOAKEK_00551","EFNNPMIA_03203","EMDCPPMA_00144","MLOHFGPA_01253","LGNMAAMO_03107","NAFOOFAA_00506","JKFJINKE_01105","NNGIMOCL_01141","OAJCOHFM_00551","FCBEKDAD_00230","ABGDGJIO_03280","NNFNPJIH_00086","HECGGPDK_00185","KFNBBHOJ_00550"
"group_2049","","hypothetical protein",580,580,1,1,5371,NA,NA,"",1934,1934,1934,"KMJDPIGG_00593","EGKOAKEK_00594","EFNNPMIA_03246","EMDCPPMA_00187","MLOHFGPA_01210","LGNMAAMO_03064","NAFOOFAA_00463","JKFJINKE_01148","NNGIMOCL_01184","OAJCOHFM_00594","FCBEKDAD_00187","ABGDGJIO_03323","NNFNPJIH_00043","HECGGPDK_00142","KFNBBHOJ_00593"
"group_2050","","hypothetical protein",580,580,1,1,5373,NA,NA,"",1286,1286,1286,"KMJDPIGG_00594","EGKOAKEK_00595","EFNNPMIA_03247","EMDCPPMA_00188","MLOHFGPA_01209","LGNMAAMO_03063","NAFOOFAA_00462","JKFJINKE_01149","NNGIMOCL_01185","OAJCOHFM_00595","FCBEKDAD_00186","ABGDGJIO_03324","NNFNPJIH_00042","HECGGPDK_00141","KFNBBHOJ_00594"
"group_2051","","hypothetical protein",580,580,1,1,5375,NA,NA,"",527,527,527,"KMJDPIGG_00596","EGKOAKEK_00597","EFNNPMIA_03249","EMDCPPMA_00190","MLOHFGPA_01207","LGNMAAMO_04031","NAFOOFAA_00460","JKFJINKE_01151","NNGIMOCL_01187","OAJCOHFM_00597","FCBEKDAD_00184","ABGDGJIO_03326","NNFNPJIH_00040","HECGGPDK_00139","KFNBBHOJ_00596"
"group_2052","","hypothetical protein",580,580,1,1,5376,NA,NA,"",107,107,107,"KMJDPIGG_00597","EGKOAKEK_00598","EFNNPMIA_03250","EMDCPPMA_00191","MLOHFGPA_01206","LGNMAAMO_04032","NAFOOFAA_00459","JKFJINKE_01152","NNGIMOCL_01188","OAJCOHFM_00598","FCBEKDAD_00183","ABGDGJIO_03327","NNFNPJIH_00039","HECGGPDK_00138","KFNBBHOJ_00597"
"group_2053","","hypothetical protein",580,580,1,1,5377,NA,NA,"",446,446,446,"KMJDPIGG_00598","EGKOAKEK_00599","EFNNPMIA_03251","EMDCPPMA_00192","MLOHFGPA_01205","LGNMAAMO_04033","NAFOOFAA_00458","JKFJINKE_01153","NNGIMOCL_01189","OAJCOHFM_00599","FCBEKDAD_00182","ABGDGJIO_03328","NNFNPJIH_00038","HECGGPDK_00137","KFNBBHOJ_00598"
"group_2054","","hypothetical protein",580,580,1,1,5379,NA,NA,"",347,347,347,"KMJDPIGG_00601","EGKOAKEK_00602","EFNNPMIA_03254","EMDCPPMA_00195","MLOHFGPA_01202","LGNMAAMO_04036","NAFOOFAA_00455","JKFJINKE_01156","NNGIMOCL_01192","OAJCOHFM_00602","FCBEKDAD_00179","ABGDGJIO_03331","NNFNPJIH_00035","HECGGPDK_00134","KFNBBHOJ_00601"
"group_2055","","hypothetical protein",580,580,1,1,5380,NA,NA,"",311,311,311,"KMJDPIGG_00602","EGKOAKEK_00603","EFNNPMIA_03255","EMDCPPMA_00196","MLOHFGPA_01201","LGNMAAMO_04037","NAFOOFAA_00454","JKFJINKE_01157","NNGIMOCL_01193","OAJCOHFM_00603","FCBEKDAD_00178","ABGDGJIO_03332","NNFNPJIH_00034","HECGGPDK_00133","KFNBBHOJ_00602"
"group_2056","","hypothetical protein",580,580,1,1,5381,NA,NA,"",251,251,251,"KMJDPIGG_00603","EGKOAKEK_00604","EFNNPMIA_03256","EMDCPPMA_00197","MLOHFGPA_01200","LGNMAAMO_04038","NAFOOFAA_00453","JKFJINKE_01158","NNGIMOCL_01194","OAJCOHFM_00604","FCBEKDAD_00177","ABGDGJIO_03333","NNFNPJIH_00033","HECGGPDK_00132","KFNBBHOJ_00603"
"group_2057","","hypothetical protein",580,580,1,1,5382,NA,NA,"",248,248,248,"KMJDPIGG_00604","EGKOAKEK_00605","EFNNPMIA_03257","EMDCPPMA_00198","MLOHFGPA_01199","LGNMAAMO_04039","NAFOOFAA_00452","JKFJINKE_01159","NNGIMOCL_01195","OAJCOHFM_00605","FCBEKDAD_00176","ABGDGJIO_03334","NNFNPJIH_00032","HECGGPDK_00131","KFNBBHOJ_00604"
"group_2058","","hypothetical protein",580,580,1,1,5383,NA,NA,"",641,641,641,"KMJDPIGG_00605","EGKOAKEK_00606","EFNNPMIA_03258","EMDCPPMA_00199","MLOHFGPA_01198","LGNMAAMO_04040","NAFOOFAA_00451","JKFJINKE_01160","NNGIMOCL_01196","OAJCOHFM_00606","FCBEKDAD_00175","ABGDGJIO_03335","NNFNPJIH_00031","HECGGPDK_00130","KFNBBHOJ_00605"
"yoaG","","Protein YoaG",580,580,1,1,5384,NA,NA,"",182,182,182,"KMJDPIGG_00606","EGKOAKEK_00607","EFNNPMIA_03259","EMDCPPMA_00200","MLOHFGPA_01197","LGNMAAMO_04041","NAFOOFAA_00450","JKFJINKE_01161","NNGIMOCL_01197","OAJCOHFM_00607","FCBEKDAD_00174","ABGDGJIO_03336","NNFNPJIH_00030","HECGGPDK_00129","KFNBBHOJ_00606"
"leuE","","Leucine efflux protein",580,580,1,1,5386,NA,NA,"",638,638,638,"KMJDPIGG_00608","EGKOAKEK_00609","EFNNPMIA_03261","EMDCPPMA_00202","MLOHFGPA_01195","LGNMAAMO_04043","NAFOOFAA_00448","JKFJINKE_01163","NNGIMOCL_01199","OAJCOHFM_00609","FCBEKDAD_00172","ABGDGJIO_03338","NNFNPJIH_00028","HECGGPDK_00127","KFNBBHOJ_00608"
"group_2061","","hypothetical protein",580,580,1,1,5388,NA,NA,"",248,248,248,"KMJDPIGG_00610","EGKOAKEK_00611","EFNNPMIA_03263","EMDCPPMA_00204","MLOHFGPA_01193","LGNMAAMO_04045","NAFOOFAA_00446","JKFJINKE_04281","NNGIMOCL_01201","OAJCOHFM_00611","FCBEKDAD_00170","ABGDGJIO_03340","NNFNPJIH_00026","HECGGPDK_00125","KFNBBHOJ_00610"
"bluR","","HTH-type transcriptional repressor BluR",580,580,1,1,5389,NA,NA,"",848,848,848,"KMJDPIGG_00611","EGKOAKEK_00612","EFNNPMIA_03264","EMDCPPMA_00205","MLOHFGPA_01192","LGNMAAMO_04046","NAFOOFAA_00445","JKFJINKE_04282","NNGIMOCL_01202","OAJCOHFM_00612","FCBEKDAD_00169","ABGDGJIO_03341","NNFNPJIH_00025","HECGGPDK_00124","KFNBBHOJ_00611"
"ibpA_2","","Small heat shock protein IbpA",580,580,1,1,5405,NA,NA,"",467,467,467,"KMJDPIGG_00627","EGKOAKEK_00628","EFNNPMIA_03280","EMDCPPMA_00221","MLOHFGPA_01176","LGNMAAMO_04062","NAFOOFAA_00429","JKFJINKE_04299","NNGIMOCL_01218","OAJCOHFM_00628","FCBEKDAD_00153","ABGDGJIO_03357","NNFNPJIH_00009","HECGGPDK_00108","KFNBBHOJ_00627"
"group_2066","","hypothetical protein",580,580,1,1,5410,NA,NA,"Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits",521,521,521,"KMJDPIGG_00633","EGKOAKEK_00634","EFNNPMIA_03286","EMDCPPMA_00227","MLOHFGPA_01170","LGNMAAMO_04615","NAFOOFAA_00423","JKFJINKE_04605","NNGIMOCL_01224","OAJCOHFM_00634","FCBEKDAD_04607","ABGDGJIO_03363","NNFNPJIH_00003","HECGGPDK_00102","KFNBBHOJ_00632"
"group_2067","","hypothetical protein",580,580,1,1,5411,NA,NA,"",239,239,239,"KMJDPIGG_00634","EGKOAKEK_00635","EFNNPMIA_03287","EMDCPPMA_00228","MLOHFGPA_01169","LGNMAAMO_04616","NAFOOFAA_00422","JKFJINKE_04604","NNGIMOCL_01225","OAJCOHFM_00635","FCBEKDAD_04608","ABGDGJIO_03364","NNFNPJIH_00002","HECGGPDK_00101","KFNBBHOJ_00633"
"rluE","","Ribosomal large subunit pseudouridine synthase E",580,580,1,1,5417,NA,NA,"",737,737,737,"KMJDPIGG_00639","EGKOAKEK_00640","EFNNPMIA_03292","EMDCPPMA_00233","MLOHFGPA_01164","LGNMAAMO_01496","NAFOOFAA_00417","JKFJINKE_03761","NNGIMOCL_01230","OAJCOHFM_00640","FCBEKDAD_01362","ABGDGJIO_03369","NNFNPJIH_03719","HECGGPDK_00096","KFNBBHOJ_00638"
"group_2071","","hypothetical protein",580,580,1,1,5418,NA,NA,"",329,329,329,"KMJDPIGG_00640","EGKOAKEK_00641","EFNNPMIA_03293","EMDCPPMA_00234","MLOHFGPA_01163","LGNMAAMO_01495","NAFOOFAA_00416","JKFJINKE_03760","NNGIMOCL_01231","OAJCOHFM_00641","FCBEKDAD_01361","ABGDGJIO_03370","NNFNPJIH_03718","HECGGPDK_00095","KFNBBHOJ_00639"
"nudJ","","Phosphatase NudJ",580,580,1,1,5419,NA,NA,"",461,461,461,"KMJDPIGG_00641","EGKOAKEK_00642","EFNNPMIA_03294","EMDCPPMA_00235","MLOHFGPA_01162","LGNMAAMO_01494","NAFOOFAA_00415","JKFJINKE_03759","NNGIMOCL_01232","OAJCOHFM_00642","FCBEKDAD_01360","ABGDGJIO_03371","NNFNPJIH_03717","HECGGPDK_00094","KFNBBHOJ_00640"
"mnmA","","tRNA-specific 2-thiouridylase MnmA",580,580,1,1,5420,NA,NA,"",1106,1106,1106,"KMJDPIGG_00642","EGKOAKEK_00643","EFNNPMIA_03295","EMDCPPMA_00236","MLOHFGPA_01161","LGNMAAMO_01493","NAFOOFAA_00414","JKFJINKE_03758","NNGIMOCL_01233","OAJCOHFM_00643","FCBEKDAD_01359","ABGDGJIO_03372","NNFNPJIH_03716","HECGGPDK_00093","KFNBBHOJ_00641"
"hflD","","High frequency lysogenization protein HflD",580,580,1,1,5421,NA,NA,"",641,641,641,"KMJDPIGG_00643","EGKOAKEK_00644","EFNNPMIA_03296","EMDCPPMA_00237","MLOHFGPA_01160","LGNMAAMO_01492","NAFOOFAA_00413","JKFJINKE_03757","NNGIMOCL_01234","OAJCOHFM_00644","FCBEKDAD_01358","ABGDGJIO_03373","NNFNPJIH_03715","HECGGPDK_00092","KFNBBHOJ_00642"
"phoP","","Virulence transcriptional regulatory protein PhoP",580,580,1,1,5423,NA,NA,"",674,674,674,"KMJDPIGG_00645","EGKOAKEK_00646","EFNNPMIA_03298","EMDCPPMA_00239","MLOHFGPA_01158","LGNMAAMO_01490","NAFOOFAA_00411","JKFJINKE_03755","NNGIMOCL_01236","OAJCOHFM_00646","FCBEKDAD_01356","ABGDGJIO_03375","NNFNPJIH_03713","HECGGPDK_00090","KFNBBHOJ_00644"
"phoQ","","Virulence sensor histidine kinase PhoQ",580,580,1,1,5424,NA,NA,"",1463,1463,1463,"KMJDPIGG_00646","EGKOAKEK_00647","EFNNPMIA_03299","EMDCPPMA_00240","MLOHFGPA_01157","LGNMAAMO_01489","NAFOOFAA_00410","JKFJINKE_03754","NNGIMOCL_01237","OAJCOHFM_00647","FCBEKDAD_01355","ABGDGJIO_03376","NNFNPJIH_03712","HECGGPDK_00089","KFNBBHOJ_00645"
"potA_2","","Spermidine/putrescine import ATP-binding protein PotA",580,580,1,1,5429,NA,NA,"",1136,1136,1136,"KMJDPIGG_00650","EGKOAKEK_00651","EFNNPMIA_03303","EMDCPPMA_00244","MLOHFGPA_01153","LGNMAAMO_01485","NAFOOFAA_00406","JKFJINKE_03750","NNGIMOCL_01241","OAJCOHFM_00651","FCBEKDAD_01351","ABGDGJIO_03380","NNFNPJIH_03708","HECGGPDK_00085","KFNBBHOJ_00649"
"potB","","Spermidine/putrescine transport system permease protein PotB",580,580,1,1,5430,NA,NA,"",863,863,863,"KMJDPIGG_00651","EGKOAKEK_00652","EFNNPMIA_03304","EMDCPPMA_00245","MLOHFGPA_01152","LGNMAAMO_01484","NAFOOFAA_00405","JKFJINKE_03749","NNGIMOCL_01242","OAJCOHFM_00652","FCBEKDAD_01350","ABGDGJIO_03381","NNFNPJIH_03707","HECGGPDK_00084","KFNBBHOJ_00650"
"flgJ","","Peptidoglycan hydrolase FlgJ",580,580,1,1,5476,NA,NA,"",950,950,950,"KMJDPIGG_00695","EGKOAKEK_00696","EFNNPMIA_03348","EMDCPPMA_00289","MLOHFGPA_01108","LGNMAAMO_01440","NAFOOFAA_00361","JKFJINKE_03101","NNGIMOCL_01286","OAJCOHFM_00696","FCBEKDAD_01306","ABGDGJIO_03425","NNFNPJIH_03663","HECGGPDK_00040","KFNBBHOJ_00694"
"group_2084","","hypothetical protein",580,580,1,1,5509,NA,NA,"",227,227,227,"KMJDPIGG_00725","EGKOAKEK_00726","EFNNPMIA_03378","EMDCPPMA_00319","MLOHFGPA_01078","LGNMAAMO_01410","NAFOOFAA_00331","JKFJINKE_04404","NNGIMOCL_01316","OAJCOHFM_00726","FCBEKDAD_01276","ABGDGJIO_03455","NNFNPJIH_03633","HECGGPDK_00010","KFNBBHOJ_00724"
"ycdX","","putative phosphatase YcdX",580,580,1,1,5526,NA,NA,"",737,737,737,"KMJDPIGG_00741","EGKOAKEK_00742","EFNNPMIA_03394","EMDCPPMA_04570","MLOHFGPA_01062","LGNMAAMO_01394","NAFOOFAA_04567","JKFJINKE_04502","NNGIMOCL_01332","OAJCOHFM_00742","FCBEKDAD_01260","ABGDGJIO_03471","NNFNPJIH_03617","HECGGPDK_04657","KFNBBHOJ_00740"
"bepC","","Outer membrane efflux protein BepC",580,580,1,1,3036,NA,NA,"",1409,1409,1409,"KMJDPIGG_01483","EGKOAKEK_00772","EFNNPMIA_00028","EMDCPPMA_00811","MLOHFGPA_02997","LGNMAAMO_01499","NAFOOFAA_01743","JKFJINKE_03495","NNGIMOCL_00028","OAJCOHFM_01386","FCBEKDAD_03474","ABGDGJIO_00641","NNFNPJIH_02684","HECGGPDK_01374","KFNBBHOJ_01386"
"group_2089","","hypothetical protein",580,580,1,1,3063,NA,NA,"",428,428,428,"KMJDPIGG_01463","EGKOAKEK_00792","EFNNPMIA_00048","EMDCPPMA_00791","MLOHFGPA_02977","LGNMAAMO_01519","NAFOOFAA_01763","JKFJINKE_03475","NNGIMOCL_00048","OAJCOHFM_01366","FCBEKDAD_03494","ABGDGJIO_00621","NNFNPJIH_02664","HECGGPDK_01354","KFNBBHOJ_01366"
"group_2092","","hypothetical protein",580,580,1,1,3069,NA,NA,"",650,650,650,"KMJDPIGG_01457","EGKOAKEK_00798","EFNNPMIA_00054","EMDCPPMA_00785","MLOHFGPA_02971","LGNMAAMO_01525","NAFOOFAA_01769","JKFJINKE_03469","NNGIMOCL_00054","OAJCOHFM_01360","FCBEKDAD_03500","ABGDGJIO_00615","NNFNPJIH_02658","HECGGPDK_01348","KFNBBHOJ_01360"
"group_2093","","hypothetical protein",580,580,1,1,3077,NA,NA,"",806,806,806,"KMJDPIGG_01449","EGKOAKEK_00806","EFNNPMIA_00062","EMDCPPMA_00777","MLOHFGPA_02963","LGNMAAMO_01533","NAFOOFAA_01777","JKFJINKE_00393","NNGIMOCL_00062","OAJCOHFM_01352","FCBEKDAD_03042","ABGDGJIO_00607","NNFNPJIH_02650","HECGGPDK_01340","KFNBBHOJ_01352"
"group_2096","","hypothetical protein",580,580,1,1,3106,NA,NA,"",929,929,929,"KMJDPIGG_01424","EGKOAKEK_00831","EFNNPMIA_00087","EMDCPPMA_00752","MLOHFGPA_03731","LGNMAAMO_01558","NAFOOFAA_01802","JKFJINKE_00368","NNGIMOCL_00087","OAJCOHFM_01327","FCBEKDAD_03067","ABGDGJIO_00582","NNFNPJIH_02625","HECGGPDK_01315","KFNBBHOJ_01327"
"group_2097","","hypothetical protein",580,580,1,1,3108,NA,NA,"",113,113,113,"KMJDPIGG_01422","EGKOAKEK_00833","EFNNPMIA_00089","EMDCPPMA_00750","MLOHFGPA_03733","LGNMAAMO_01560","NAFOOFAA_01804","JKFJINKE_00366","NNGIMOCL_00089","OAJCOHFM_01325","FCBEKDAD_03069","ABGDGJIO_00580","NNFNPJIH_02623","HECGGPDK_01313","KFNBBHOJ_01325"
"gabD","","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD",580,580,1,1,3122,NA,NA,"",1442,1448,1447,"KMJDPIGG_01411","EGKOAKEK_00844","EFNNPMIA_00100","EMDCPPMA_00739","MLOHFGPA_03744","LGNMAAMO_01571","NAFOOFAA_01815","JKFJINKE_00355","NNGIMOCL_00100","OAJCOHFM_01314","FCBEKDAD_03080","ABGDGJIO_00569","NNFNPJIH_02612","HECGGPDK_01302","KFNBBHOJ_01314"
"nrdI","","Protein NrdI",580,580,1,1,3138,NA,NA,"",410,410,410,"KMJDPIGG_01395","EGKOAKEK_00860","EFNNPMIA_00116","EMDCPPMA_00723","MLOHFGPA_03760","LGNMAAMO_01587","NAFOOFAA_01831","JKFJINKE_00339","NNGIMOCL_00116","OAJCOHFM_01298","FCBEKDAD_00649","ABGDGJIO_00553","NNFNPJIH_02596","HECGGPDK_01286","KFNBBHOJ_01298"
"gshA","","Glutamate--cysteine ligase",580,580,1,1,3150,NA,NA,"",1553,1556,1555,"KMJDPIGG_01383","EGKOAKEK_00872","EFNNPMIA_00128","EMDCPPMA_00711","MLOHFGPA_03772","LGNMAAMO_03510","NAFOOFAA_01843","JKFJINKE_00327","NNGIMOCL_00128","OAJCOHFM_01286","FCBEKDAD_00661","ABGDGJIO_00541","NNFNPJIH_02584","HECGGPDK_01274","KFNBBHOJ_01286"
"group_2102","","hypothetical protein",580,580,1,1,3158,NA,NA,"",245,245,245,"KMJDPIGG_01370","EGKOAKEK_00885","EFNNPMIA_00141","EMDCPPMA_00698","MLOHFGPA_02945","LGNMAAMO_03523","NAFOOFAA_01856","JKFJINKE_00314","NNGIMOCL_00141","OAJCOHFM_01273","FCBEKDAD_00674","ABGDGJIO_00528","NNFNPJIH_02571","HECGGPDK_01262","KFNBBHOJ_01273"
"mltB","","Membrane-bound lytic murein transglycosylase B",580,580,1,1,3159,NA,NA,"",1079,1079,1079,"KMJDPIGG_01369","EGKOAKEK_00886","EFNNPMIA_00142","EMDCPPMA_00697","MLOHFGPA_02944","LGNMAAMO_03524","NAFOOFAA_01857","JKFJINKE_00313","NNGIMOCL_00142","OAJCOHFM_01272","FCBEKDAD_00675","ABGDGJIO_00527","NNFNPJIH_02570","HECGGPDK_01261","KFNBBHOJ_01272"
"srlA","","PTS system glucitol/sorbitol-specific EIIC component",580,580,1,1,3160,NA,NA,"",563,563,563,"KMJDPIGG_01368","EGKOAKEK_00887","EFNNPMIA_00143","EMDCPPMA_00696","MLOHFGPA_02943","LGNMAAMO_03525","NAFOOFAA_01858","JKFJINKE_00312","NNGIMOCL_00143","OAJCOHFM_01271","FCBEKDAD_00676","ABGDGJIO_00526","NNFNPJIH_02569","HECGGPDK_01260","KFNBBHOJ_01271"
"srlE","","PTS system glucitol/sorbitol-specific EIIB component",580,580,1,1,3161,NA,NA,"",971,971,971,"KMJDPIGG_01367","EGKOAKEK_00888","EFNNPMIA_00144","EMDCPPMA_00695","MLOHFGPA_02942","LGNMAAMO_03526","NAFOOFAA_01859","JKFJINKE_00311","NNGIMOCL_00144","OAJCOHFM_01270","FCBEKDAD_00677","ABGDGJIO_00525","NNFNPJIH_02568","HECGGPDK_01259","KFNBBHOJ_01270"
"srlB","","PTS system glucitol/sorbitol-specific EIIA component",580,580,1,1,3162,NA,NA,"",362,362,362,"KMJDPIGG_01366","EGKOAKEK_00889","EFNNPMIA_00145","EMDCPPMA_00694","MLOHFGPA_02941","LGNMAAMO_03527","NAFOOFAA_01860","JKFJINKE_00310","NNGIMOCL_00145","OAJCOHFM_01269","FCBEKDAD_00678","ABGDGJIO_00524","NNFNPJIH_02567","HECGGPDK_01258","KFNBBHOJ_01269"
"srlD","","Sorbitol-6-phosphate 2-dehydrogenase",580,580,1,1,3163,NA,NA,"",779,779,779,"KMJDPIGG_01365","EGKOAKEK_00890","EFNNPMIA_00146","EMDCPPMA_00693","MLOHFGPA_02940","LGNMAAMO_03528","NAFOOFAA_01861","JKFJINKE_00309","NNGIMOCL_00146","OAJCOHFM_01268","FCBEKDAD_00679","ABGDGJIO_00523","NNFNPJIH_02566","HECGGPDK_01257","KFNBBHOJ_01268"
"group_2108","","hypothetical protein",580,580,1,1,3164,NA,NA,"",359,359,359,"KMJDPIGG_01364","EGKOAKEK_00891","EFNNPMIA_00147","EMDCPPMA_00692","MLOHFGPA_02939","LGNMAAMO_03529","NAFOOFAA_01862","JKFJINKE_00308","NNGIMOCL_00147","OAJCOHFM_01267","FCBEKDAD_00680","ABGDGJIO_00522","NNFNPJIH_02565","HECGGPDK_01256","KFNBBHOJ_01267"
