"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR11068404","SRR7041896","SRR1411125","SRR14766396","SRR14272159","NDSU28","SRR9301046","SRR1556977","SRR5666360","SRR13001984","SRR14766435","SRR5928137","SRR14766343","SRR2994392","SRR18233394"
"sufD","","FeS cluster assembly protein SufD",581,581,1,1,5270,NA,NA,"",1259,1271,1270,"NHHFDHOA_01175","LNFOPOPD_02141","LNNOOKGB_01296","OHGNPAHP_03257","GLJEHEMI_00499","KBLPGKMM_01291","FIBKOHBH_01081","KLKGDDID_00249","KHAGAGIB_02462","DLEBNIDD_00412","IJNFKBKA_01119","FHJCNOBE_02749","CLBIFFHN_00566","FBFFAOJI_03944","BCOIPCNK_02283"
"tolB","","Tol-Pal system protein TolB",581,581,1,1,267,NA,NA,"",1292,1292,1292,"NHHFDHOA_02629","LNFOPOPD_03128","LNNOOKGB_02795","OHGNPAHP_04461","GLJEHEMI_03904","KBLPGKMM_02616","FIBKOHBH_02063","KLKGDDID_03947","KHAGAGIB_04248","DLEBNIDD_01332","IJNFKBKA_04222","FHJCNOBE_04475","CLBIFFHN_02962","FBFFAOJI_04360","BCOIPCNK_04414"
"sad_2","","Succinate semialdehyde dehydrogenase [NAD(P)+] Sad",581,581,1,1,6164,NA,NA,"",1370,1370,1370,"NHHFDHOA_00139","LNFOPOPD_01078","LNNOOKGB_02274","OHGNPAHP_01760","GLJEHEMI_03587","KBLPGKMM_03990","FIBKOHBH_01904","KLKGDDID_01717","KHAGAGIB_04345","DLEBNIDD_02309","IJNFKBKA_04316","FHJCNOBE_01640","CLBIFFHN_03847","FBFFAOJI_03291","BCOIPCNK_02858"
"yehZ","","Glycine betaine-binding protein YehZ",581,581,1,1,5890,NA,NA,"",908,917,916,"NHHFDHOA_03430","LNFOPOPD_03379","LNNOOKGB_01616","OHGNPAHP_03577","GLJEHEMI_03053","KBLPGKMM_01913","FIBKOHBH_02753","KLKGDDID_03351","KHAGAGIB_03428","DLEBNIDD_01577","IJNFKBKA_01435","FHJCNOBE_02914","CLBIFFHN_00818","FBFFAOJI_02488","BCOIPCNK_02977"
"yfdC","","Inner membrane protein YfdC",581,581,1,1,3954,NA,NA,"",941,941,941,"NHHFDHOA_01817","LNFOPOPD_01355","LNNOOKGB_02032","OHGNPAHP_02697","GLJEHEMI_02512","KBLPGKMM_00217","FIBKOHBH_01692","KLKGDDID_02731","KHAGAGIB_02060","DLEBNIDD_00785","IJNFKBKA_01347","FHJCNOBE_00956","CLBIFFHN_03580","FBFFAOJI_00993","BCOIPCNK_00799"
"lolE","","Lipoprotein-releasing system transmembrane protein LolE",581,581,1,1,5437,NA,NA,"",1244,1244,1244,"NHHFDHOA_01333","LNFOPOPD_01983","LNNOOKGB_03571","OHGNPAHP_03415","GLJEHEMI_00657","KBLPGKMM_01448","FIBKOHBH_01239","KLKGDDID_00091","KHAGAGIB_02620","DLEBNIDD_00570","IJNFKBKA_02151","FHJCNOBE_03882","CLBIFFHN_02706","FBFFAOJI_03473","BCOIPCNK_03264"
"fadL","","Long-chain fatty acid transport protein",581,581,1,1,3952,NA,NA,"",1307,1307,1307,"NHHFDHOA_01819","LNFOPOPD_01353","LNNOOKGB_02030","OHGNPAHP_02699","GLJEHEMI_02514","KBLPGKMM_00219","FIBKOHBH_01690","KLKGDDID_02729","KHAGAGIB_02062","DLEBNIDD_00783","IJNFKBKA_01349","FHJCNOBE_00954","CLBIFFHN_03582","FBFFAOJI_00995","BCOIPCNK_00797"
"flgK","","Flagellar hook-associated protein 1",581,581,1,1,5475,NA,NA,"",1655,1661,1660,"NHHFDHOA_01370","LNFOPOPD_01946","LNNOOKGB_03608","OHGNPAHP_03452","GLJEHEMI_00694","KBLPGKMM_01485","FIBKOHBH_01276","KLKGDDID_00054","KHAGAGIB_02657","DLEBNIDD_00607","IJNFKBKA_02188","FHJCNOBE_03845","CLBIFFHN_02743","FBFFAOJI_03510","BCOIPCNK_03227"
"yehY","","Glycine betaine uptake system permease protein YehY",581,581,1,1,5889,NA,NA,"",1169,1175,1169,"NHHFDHOA_03431","LNFOPOPD_03380","LNNOOKGB_01615","OHGNPAHP_03578","GLJEHEMI_03054","KBLPGKMM_01912","FIBKOHBH_02754","KLKGDDID_03352","KHAGAGIB_03427","DLEBNIDD_01578","IJNFKBKA_01436","FHJCNOBE_02915","CLBIFFHN_00817","FBFFAOJI_02489","BCOIPCNK_02978"
"fabR","","HTH-type transcriptional repressor FabR",581,581,1,1,2149,NA,NA,"",635,635,635,"NHHFDHOA_03106","LNFOPOPD_03672","LNNOOKGB_03109","OHGNPAHP_03810","GLJEHEMI_04074","KBLPGKMM_02916","FIBKOHBH_02703","KLKGDDID_04104","KHAGAGIB_03228","DLEBNIDD_03168","IJNFKBKA_01816","FHJCNOBE_03294","CLBIFFHN_03137","FBFFAOJI_03567","BCOIPCNK_03565"
"gdhA_1","","Glutamate dehydrogenase",581,581,1,1,4801,NA,NA,"",1274,1274,1274,"NHHFDHOA_00774","LNFOPOPD_03848","LNNOOKGB_03483","OHGNPAHP_00622","GLJEHEMI_00077","KBLPGKMM_00427","FIBKOHBH_03947","KLKGDDID_00666","KHAGAGIB_04029","DLEBNIDD_03627","IJNFKBKA_00444","FHJCNOBE_04066","CLBIFFHN_02553","FBFFAOJI_00331","BCOIPCNK_03316"
"igaA","","Intracellular growth attenuator protein igaA",581,581,1,1,1656,NA,NA,"",2132,2132,2132,"NHHFDHOA_01459","LNFOPOPD_00096","LNNOOKGB_00988","OHGNPAHP_02383","GLJEHEMI_01973","KBLPGKMM_01582","FIBKOHBH_00317","KLKGDDID_02174","KHAGAGIB_00808","DLEBNIDD_00953","IJNFKBKA_00049","FHJCNOBE_01928","CLBIFFHN_00049","FBFFAOJI_00725","BCOIPCNK_01801"
"malP_2","","Maltodextrin phosphorylase",581,581,1,1,1677,NA,NA,"",2393,2393,2393,"NHHFDHOA_01478","LNFOPOPD_00115","LNNOOKGB_00969","OHGNPAHP_02364","GLJEHEMI_01992","KBLPGKMM_01601","FIBKOHBH_00298","KLKGDDID_02155","KHAGAGIB_00789","DLEBNIDD_00972","IJNFKBKA_00068","FHJCNOBE_01947","CLBIFFHN_00068","FBFFAOJI_00706","BCOIPCNK_01782"
"ldcC","","Constitutive lysine decarboxylase",581,581,1,1,2355,NA,NA,"",2141,2141,2141,"NHHFDHOA_04276","LNFOPOPD_04325","LNNOOKGB_02568","OHGNPAHP_04182","GLJEHEMI_04055","KBLPGKMM_02227","FIBKOHBH_04249","KLKGDDID_03760","KHAGAGIB_04103","DLEBNIDD_03701","IJNFKBKA_03902","FHJCNOBE_04428","CLBIFFHN_02798","FBFFAOJI_02972","BCOIPCNK_04132"
"artP","","Arginine transport ATP-binding protein ArtP",581,581,1,1,4330,NA,NA,"",728,728,728,"NHHFDHOA_02686","LNFOPOPD_00774","LNNOOKGB_01807","OHGNPAHP_00127","GLJEHEMI_01566","KBLPGKMM_03333","FIBKOHBH_01559","KLKGDDID_02396","KHAGAGIB_00056","DLEBNIDD_02552","IJNFKBKA_02829","FHJCNOBE_00359","CLBIFFHN_02882","FBFFAOJI_02360","BCOIPCNK_01905"
"crr","","PTS system glucose-specific EIIA component",581,581,1,1,4001,NA,NA,"",509,509,509,"NHHFDHOA_01769","LNFOPOPD_01402","LNNOOKGB_02080","OHGNPAHP_02650","GLJEHEMI_02464","KBLPGKMM_00172","FIBKOHBH_01740","KLKGDDID_02779","KHAGAGIB_02011","DLEBNIDD_00833","IJNFKBKA_01299","FHJCNOBE_01004","CLBIFFHN_01221","FBFFAOJI_00945","BCOIPCNK_00847"
"pduB","","Propanediol utilization protein PduB",581,581,1,1,5703,NA,NA,"",812,812,812,"NHHFDHOA_03559","LNFOPOPD_03621","LNNOOKGB_01486","OHGNPAHP_03707","GLJEHEMI_03183","KBLPGKMM_01783","FIBKOHBH_02883","KLKGDDID_03481","KHAGAGIB_03546","DLEBNIDD_03591","IJNFKBKA_03691","FHJCNOBE_03705","CLBIFFHN_03170","FBFFAOJI_02618","BCOIPCNK_03617"
"ybhR","","putative multidrug ABC transporter permease YbhR",581,581,1,1,4244,NA,NA,"",1106,1106,1106,"NHHFDHOA_04238","LNFOPOPD_04092","LNNOOKGB_01886","OHGNPAHP_00048","GLJEHEMI_01487","KBLPGKMM_03526","FIBKOHBH_04098","KLKGDDID_02317","KHAGAGIB_04444","DLEBNIDD_04066","IJNFKBKA_03328","FHJCNOBE_04339","CLBIFFHN_02331","FBFFAOJI_04280","BCOIPCNK_04012"
"cysB","","HTH-type transcriptional regulator CysB",581,581,1,1,4886,NA,NA,"",974,974,974,"NHHFDHOA_00692","LNFOPOPD_01822","LNNOOKGB_03266","OHGNPAHP_00704","GLJEHEMI_00159","KBLPGKMM_00509","FIBKOHBH_00436","KLKGDDID_00584","KHAGAGIB_01390","DLEBNIDD_00072","IJNFKBKA_00526","FHJCNOBE_02460","CLBIFFHN_01133","FBFFAOJI_00248","BCOIPCNK_01330"
"ant1","","Streptomycin 3''-adenylyltransferase",581,581,1,1,5391,NA,NA,"",788,788,788,"NHHFDHOA_01289","LNFOPOPD_02027","LNNOOKGB_01410","OHGNPAHP_03371","GLJEHEMI_00613","KBLPGKMM_01404","FIBKOHBH_01195","KLKGDDID_00135","KHAGAGIB_02576","DLEBNIDD_00526","IJNFKBKA_02107","FHJCNOBE_02635","CLBIFFHN_02662","FBFFAOJI_03429","BCOIPCNK_02170"
"aaeA_2","","p-hydroxybenzoic acid efflux pump subunit AaeA",581,581,1,1,1953,NA,NA,"",932,932,932,"NHHFDHOA_04343","LNFOPOPD_04452","LNNOOKGB_04362","OHGNPAHP_04562","GLJEHEMI_04535","KBLPGKMM_04285","FIBKOHBH_04406","KLKGDDID_04463","KHAGAGIB_04389","DLEBNIDD_04031","IJNFKBKA_04247","FHJCNOBE_04504","CLBIFFHN_03283","FBFFAOJI_04409","BCOIPCNK_04355"
"bamB","","Outer membrane protein assembly factor BamB",581,581,1,1,4139,NA,NA,"",1178,1178,1178,"NHHFDHOA_03630","LNFOPOPD_01490","LNNOOKGB_03428","OHGNPAHP_02563","GLJEHEMI_02377","KBLPGKMM_00085","FIBKOHBH_03581","KLKGDDID_02867","KHAGAGIB_03849","DLEBNIDD_02980","IJNFKBKA_04421","FHJCNOBE_01091","CLBIFFHN_01601","FBFFAOJI_00858","BCOIPCNK_00934"
"fbaB","","Fructose-bisphosphate aldolase class 1",581,581,1,1,5861,NA,NA,"",1052,1052,1052,"NHHFDHOA_03455","LNFOPOPD_03404","LNNOOKGB_01591","OHGNPAHP_03602","GLJEHEMI_03078","KBLPGKMM_01888","FIBKOHBH_02778","KLKGDDID_03376","KHAGAGIB_03403","DLEBNIDD_01602","IJNFKBKA_01460","FHJCNOBE_02939","CLBIFFHN_02254","FBFFAOJI_02513","BCOIPCNK_03002"
"ycaD","","putative MFS-type transporter YcaD",581,581,1,1,4370,NA,NA,"",1148,1148,1148,"NHHFDHOA_02722","LNFOPOPD_00738","LNNOOKGB_01771","OHGNPAHP_00163","GLJEHEMI_01602","KBLPGKMM_04068","FIBKOHBH_01523","KLKGDDID_02432","KHAGAGIB_00092","DLEBNIDD_02516","IJNFKBKA_02793","FHJCNOBE_00323","CLBIFFHN_02846","FBFFAOJI_02324","BCOIPCNK_01941"
"fadJ","","Fatty acid oxidation complex subunit alpha",581,581,1,1,3949,NA,NA,"",2147,2147,2147,"NHHFDHOA_01822","LNFOPOPD_01350","LNNOOKGB_02027","OHGNPAHP_02702","GLJEHEMI_02517","KBLPGKMM_00222","FIBKOHBH_01687","KLKGDDID_02726","KHAGAGIB_02065","DLEBNIDD_00780","IJNFKBKA_01352","FHJCNOBE_00951","CLBIFFHN_03585","FBFFAOJI_00998","BCOIPCNK_00794"
"pepA","","Cytosol aminopeptidase",581,581,1,1,6108,NA,NA,"",1511,1511,1511,"NHHFDHOA_00192","LNFOPOPD_01025","LNNOOKGB_02221","OHGNPAHP_01813","GLJEHEMI_03534","KBLPGKMM_02179","FIBKOHBH_01957","KLKGDDID_01664","KHAGAGIB_04543","DLEBNIDD_04440","IJNFKBKA_00806","FHJCNOBE_01693","CLBIFFHN_04185","FBFFAOJI_03344","BCOIPCNK_02654"
"kdpD","","Sensor protein KdpD",581,581,1,1,298,NA,NA,"",2684,2684,2684,"NHHFDHOA_02598","LNFOPOPD_03159","LNNOOKGB_02826","OHGNPAHP_04492","GLJEHEMI_03873","KBLPGKMM_02647","FIBKOHBH_02094","KLKGDDID_03916","KHAGAGIB_04217","DLEBNIDD_01363","IJNFKBKA_04191","FHJCNOBE_04444","CLBIFFHN_02993","FBFFAOJI_04329","BCOIPCNK_02822"
"group_6432","ttuB_1","Putative tartrate transporter",581,581,1,1,4526,NA,NA,"",1376,1376,1376,"NHHFDHOA_01034","LNFOPOPD_00597","LNNOOKGB_03167","OHGNPAHP_00303","GLJEHEMI_01742","KBLPGKMM_03607","FIBKOHBH_01382","KLKGDDID_02572","KHAGAGIB_00232","DLEBNIDD_03113","IJNFKBKA_01623","FHJCNOBE_00183","CLBIFFHN_04295","FBFFAOJI_02184","BCOIPCNK_02081"
"galR","","HTH-type transcriptional regulator GalR",581,581,1,1,2896,NA,NA,"",1028,1028,1028,"NHHFDHOA_04055","LNFOPOPD_02780","LNNOOKGB_00330","OHGNPAHP_01292","GLJEHEMI_01100","KBLPGKMM_02601","FIBKOHBH_02305","KLKGDDID_01071","KHAGAGIB_00977","DLEBNIDD_03310","IJNFKBKA_03526","FHJCNOBE_00478","CLBIFFHN_01336","FBFFAOJI_01459","BCOIPCNK_00328"
"caiA_2","","Crotonobetainyl-CoA reductase",581,581,1,1,2524,NA,NA,"",1142,1142,1142,"NHHFDHOA_02928","LNFOPOPD_04589","LNNOOKGB_02404","OHGNPAHP_04213","GLJEHEMI_04473","KBLPGKMM_02392","FIBKOHBH_02548","KLKGDDID_03596","KHAGAGIB_03073","DLEBNIDD_01675","IJNFKBKA_01983","FHJCNOBE_03139","CLBIFFHN_03235","FBFFAOJI_03136","BCOIPCNK_02392"
"mgtA","","Magnesium-transporting ATPase, P-type 1",581,581,1,1,6087,NA,NA,"",2708,2708,2708,"NHHFDHOA_00213","LNFOPOPD_01002","LNNOOKGB_02200","OHGNPAHP_01834","GLJEHEMI_03297","KBLPGKMM_02158","FIBKOHBH_01978","KLKGDDID_01643","KHAGAGIB_02430","DLEBNIDD_04259","IJNFKBKA_00785","FHJCNOBE_01714","CLBIFFHN_01768","FBFFAOJI_02947","BCOIPCNK_02633"
"ygiF","","Inorganic triphosphatase",581,581,1,1,2695,NA,NA,"",1301,1301,1301,"NHHFDHOA_02955","LNFOPOPD_02380","LNNOOKGB_00524","OHGNPAHP_01098","GLJEHEMI_01294","KBLPGKMM_00832","FIBKOHBH_03743","KLKGDDID_01265","KHAGAGIB_01172","DLEBNIDD_01808","IJNFKBKA_03448","FHJCNOBE_00672","CLBIFFHN_04075","FBFFAOJI_01948","BCOIPCNK_00522"
"pdxJ","","Pyridoxine 5'-phosphate synthase",581,581,1,1,4077,NA,NA,"",731,731,731,"NHHFDHOA_03690","LNFOPOPD_01550","LNNOOKGB_03368","OHGNPAHP_02503","GLJEHEMI_02317","KBLPGKMM_00025","FIBKOHBH_03521","KLKGDDID_02927","KHAGAGIB_03789","DLEBNIDD_03040","IJNFKBKA_03941","FHJCNOBE_01151","CLBIFFHN_01661","FBFFAOJI_00798","BCOIPCNK_04226"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ",581,581,1,1,2362,NA,NA,"",455,455,455,"NHHFDHOA_04283","LNFOPOPD_04318","LNNOOKGB_02561","OHGNPAHP_04175","GLJEHEMI_04048","KBLPGKMM_02234","FIBKOHBH_04256","KLKGDDID_03753","KHAGAGIB_04110","DLEBNIDD_03708","IJNFKBKA_03895","FHJCNOBE_04421","CLBIFFHN_02805","FBFFAOJI_02979","BCOIPCNK_04125"
"zinT","","Metal-binding protein ZinT",581,581,1,1,5392,NA,NA,"",650,650,650,"NHHFDHOA_01290","LNFOPOPD_02026","LNNOOKGB_01411","OHGNPAHP_03372","GLJEHEMI_00614","KBLPGKMM_01405","FIBKOHBH_01196","KLKGDDID_00134","KHAGAGIB_02577","DLEBNIDD_00527","IJNFKBKA_02108","FHJCNOBE_02634","CLBIFFHN_02663","FBFFAOJI_03430","BCOIPCNK_02169"
"leuD","","3-isopropylmalate dehydratase small subunit",581,581,1,1,796,NA,NA,"",626,626,626,"NHHFDHOA_02448","LNFOPOPD_02862","LNNOOKGB_02775","OHGNPAHP_02916","GLJEHEMI_02899","KBLPGKMM_01038","FIBKOHBH_00907","KLKGDDID_03198","KHAGAGIB_01718","DLEBNIDD_01149","IJNFKBKA_02411","FHJCNOBE_01256","CLBIFFHN_01822","FBFFAOJI_01553","BCOIPCNK_01198"
"group_6441","","hypothetical protein",581,581,1,1,6057,NA,NA,"",1343,1343,1343,"NHHFDHOA_00242","LNFOPOPD_00973","LNNOOKGB_02171","OHGNPAHP_01863","GLJEHEMI_03326","KBLPGKMM_02129","FIBKOHBH_02007","KLKGDDID_01614","KHAGAGIB_02401","DLEBNIDD_01961","IJNFKBKA_00756","FHJCNOBE_01743","CLBIFFHN_01739","FBFFAOJI_02918","BCOIPCNK_02604"
"ydjE_1","","Inner membrane metabolite transport protein YdjE",581,581,1,1,5362,NA,NA,"",1379,1379,1379,"NHHFDHOA_01260","LNFOPOPD_02056","LNNOOKGB_01381","OHGNPAHP_03342","GLJEHEMI_00584","KBLPGKMM_01375","FIBKOHBH_01166","KLKGDDID_00164","KHAGAGIB_02547","DLEBNIDD_00497","IJNFKBKA_01204","FHJCNOBE_02664","CLBIFFHN_00482","FBFFAOJI_03400","BCOIPCNK_02199"
"group_6443","","hypothetical protein",581,581,1,1,11,NA,NA,"",1202,1202,1202,"NHHFDHOA_00005","LNFOPOPD_01212","LNNOOKGB_04475","OHGNPAHP_01625","GLJEHEMI_03721","KBLPGKMM_03069","FIBKOHBH_04127","KLKGDDID_01852","KHAGAGIB_03649","DLEBNIDD_04274","IJNFKBKA_02364","FHJCNOBE_01508","CLBIFFHN_04211","FBFFAOJI_03157","BCOIPCNK_04310"
"eno","","Enolase",581,581,1,1,2960,NA,NA,"",1298,1298,1298,"NHHFDHOA_01938","LNFOPOPD_02713","LNNOOKGB_00264","OHGNPAHP_01358","GLJEHEMI_01034","KBLPGKMM_02536","FIBKOHBH_03251","KLKGDDID_01005","KHAGAGIB_00911","DLEBNIDD_02702","IJNFKBKA_02494","FHJCNOBE_02127","CLBIFFHN_04428","FBFFAOJI_01393","BCOIPCNK_00262"
"group_6445","","hypothetical protein",581,581,1,1,4792,NA,NA,"",1526,1532,1531,"NHHFDHOA_00783","LNFOPOPD_03857","LNNOOKGB_03492","OHGNPAHP_00613","GLJEHEMI_00068","KBLPGKMM_00418","FIBKOHBH_03938","KLKGDDID_00675","KHAGAGIB_04038","DLEBNIDD_03636","IJNFKBKA_00435","FHJCNOBE_04057","CLBIFFHN_02544","FBFFAOJI_00340","BCOIPCNK_03325"
"ttrC","","Tetrathionate reductase subunit C",581,581,1,1,5256,NA,NA,"",1022,1022,1022,"NHHFDHOA_01163","LNFOPOPD_02153","LNNOOKGB_01284","OHGNPAHP_03245","GLJEHEMI_00487","KBLPGKMM_01279","FIBKOHBH_01069","KLKGDDID_00261","KHAGAGIB_02450","DLEBNIDD_00400","IJNFKBKA_01107","FHJCNOBE_02761","CLBIFFHN_00578","FBFFAOJI_03932","BCOIPCNK_02295"
"group_6447","","hypothetical protein",581,581,1,1,2925,NA,NA,"",395,395,395,"NHHFDHOA_04086","LNFOPOPD_02749","LNNOOKGB_00299","OHGNPAHP_01323","GLJEHEMI_01069","KBLPGKMM_02571","FIBKOHBH_02274","KLKGDDID_01040","KHAGAGIB_00946","DLEBNIDD_03279","IJNFKBKA_03495","FHJCNOBE_00447","CLBIFFHN_01367","FBFFAOJI_01428","BCOIPCNK_00297"
"leuS","","Leucine--tRNA ligase",581,581,1,1,350,NA,NA,"",2582,2582,2582,"NHHFDHOA_02541","LNFOPOPD_03216","LNNOOKGB_02883","OHGNPAHP_04004","GLJEHEMI_03816","KBLPGKMM_02700","FIBKOHBH_02151","KLKGDDID_03859","KHAGAGIB_03288","DLEBNIDD_01420","IJNFKBKA_01876","FHJCNOBE_03502","CLBIFFHN_00714","FBFFAOJI_03761","BCOIPCNK_02765"
"actP_2","","Copper-transporting P-type ATPase",581,581,1,1,773,NA,NA,"",2303,2303,2303,"NHHFDHOA_02426","LNFOPOPD_02884","LNNOOKGB_02753","OHGNPAHP_02938","GLJEHEMI_02877","KBLPGKMM_01060","FIBKOHBH_00885","KLKGDDID_03176","KHAGAGIB_01740","DLEBNIDD_01171","IJNFKBKA_02389","FHJCNOBE_01278","CLBIFFHN_01844","FBFFAOJI_01575","BCOIPCNK_01176"
"aroF","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",581,581,1,1,3015,NA,NA,"",1070,1079,1070,"NHHFDHOA_02191","LNFOPOPD_03932","LNNOOKGB_00009","OHGNPAHP_01612","GLJEHEMI_00781","KBLPGKMM_03758","FIBKOHBH_03371","KLKGDDID_00751","KHAGAGIB_02943","DLEBNIDD_02846","IJNFKBKA_03810","FHJCNOBE_02380","CLBIFFHN_04103","FBFFAOJI_01140","BCOIPCNK_00009"
"caiB","","L-carnitine CoA-transferase",581,581,1,1,2525,NA,NA,"",1217,1217,1217,"NHHFDHOA_02929","LNFOPOPD_04588","LNNOOKGB_02403","OHGNPAHP_04212","GLJEHEMI_04472","KBLPGKMM_02393","FIBKOHBH_02549","KLKGDDID_03595","KHAGAGIB_03074","DLEBNIDD_01674","IJNFKBKA_01982","FHJCNOBE_03140","CLBIFFHN_03236","FBFFAOJI_03137","BCOIPCNK_02391"
"rnb","","Exoribonuclease 2",581,581,1,1,4900,NA,NA,"",1934,1934,1934,"NHHFDHOA_00679","LNFOPOPD_01809","LNNOOKGB_03279","OHGNPAHP_00717","GLJEHEMI_00172","KBLPGKMM_00522","FIBKOHBH_00449","KLKGDDID_00571","KHAGAGIB_01403","DLEBNIDD_00085","IJNFKBKA_00539","FHJCNOBE_02473","CLBIFFHN_01146","FBFFAOJI_00235","BCOIPCNK_01343"
"fic","","putative protein adenylyltransferase Fic",581,581,1,1,1629,NA,NA,"",602,602,602,"NHHFDHOA_01434","LNFOPOPD_00071","LNNOOKGB_01013","OHGNPAHP_02408","GLJEHEMI_01948","KBLPGKMM_01557","FIBKOHBH_00342","KLKGDDID_02199","KHAGAGIB_00833","DLEBNIDD_00928","IJNFKBKA_00024","FHJCNOBE_01903","CLBIFFHN_00024","FBFFAOJI_00750","BCOIPCNK_01826"
"lsrE","","Putative epimerase LsrE",581,581,1,1,2203,NA,NA,"",764,764,764,"NHHFDHOA_03156","LNFOPOPD_03722","LNNOOKGB_03059","OHGNPAHP_03860","GLJEHEMI_04124","KBLPGKMM_02866","FIBKOHBH_02653","KLKGDDID_04053","KHAGAGIB_03178","DLEBNIDD_03218","IJNFKBKA_01766","FHJCNOBE_03244","CLBIFFHN_03104","FBFFAOJI_03617","BCOIPCNK_03515"
"kdpB","","Potassium-transporting ATPase ATP-binding subunit",581,581,1,1,296,NA,NA,"",2045,2048,2047,"NHHFDHOA_02600","LNFOPOPD_03157","LNNOOKGB_02824","OHGNPAHP_04490","GLJEHEMI_03875","KBLPGKMM_02645","FIBKOHBH_02092","KLKGDDID_03918","KHAGAGIB_04219","DLEBNIDD_01361","IJNFKBKA_04193","FHJCNOBE_04446","CLBIFFHN_02991","FBFFAOJI_04331","BCOIPCNK_02824"
"group_6456","","hypothetical protein",581,581,1,1,6074,NA,NA,"",776,776,776,"NHHFDHOA_00226","LNFOPOPD_00989","LNNOOKGB_02187","OHGNPAHP_01847","GLJEHEMI_03310","KBLPGKMM_02145","FIBKOHBH_01991","KLKGDDID_01630","KHAGAGIB_02417","DLEBNIDD_04246","IJNFKBKA_00772","FHJCNOBE_01727","CLBIFFHN_01755","FBFFAOJI_02934","BCOIPCNK_02620"
"lplA","","Lipoate-protein ligase A",581,581,1,1,6224,NA,NA,"",1016,1016,1016,"NHHFDHOA_00081","LNFOPOPD_01136","LNNOOKGB_02332","OHGNPAHP_01701","GLJEHEMI_03645","KBLPGKMM_03145","FIBKOHBH_01846","KLKGDDID_01776","KHAGAGIB_03725","DLEBNIDD_02367","IJNFKBKA_02288","FHJCNOBE_01584","CLBIFFHN_02936","FBFFAOJI_03233","BCOIPCNK_02916"
"sapC","","Peptide transport system permease protein SapC",581,581,1,1,4909,NA,NA,"",890,890,890,"NHHFDHOA_00672","LNFOPOPD_01802","LNNOOKGB_03286","OHGNPAHP_00724","GLJEHEMI_00179","KBLPGKMM_00529","FIBKOHBH_00456","KLKGDDID_00564","KHAGAGIB_01410","DLEBNIDD_00093","IJNFKBKA_00546","FHJCNOBE_02480","CLBIFFHN_01153","FBFFAOJI_00228","BCOIPCNK_01350"
"fes_1","","Enterochelin esterase",581,581,1,1,3101,NA,NA,"",1244,1244,1244,"NHHFDHOA_02118","LNFOPOPD_02533","LNNOOKGB_00082","OHGNPAHP_01539","GLJEHEMI_00854","KBLPGKMM_03902","FIBKOHBH_03298","KLKGDDID_00825","KHAGAGIB_02870","DLEBNIDD_02919","IJNFKBKA_03757","FHJCNOBE_02307","CLBIFFHN_00298","FBFFAOJI_01213","BCOIPCNK_00082"
"dusA","","tRNA-dihydrouridine(20/20a) synthase",581,581,1,1,2049,NA,NA,"",998,998,998,"NHHFDHOA_00402","LNFOPOPD_04241","LNNOOKGB_04092","OHGNPAHP_02023","GLJEHEMI_03486","KBLPGKMM_03707","FIBKOHBH_03798","KLKGDDID_01455","KHAGAGIB_02241","DLEBNIDD_04099","IJNFKBKA_04011","FHJCNOBE_03341","CLBIFFHN_03343","FBFFAOJI_02758","BCOIPCNK_04078"
"rplU","","50S ribosomal protein L21",581,581,1,1,2593,NA,NA,"",311,311,311,"NHHFDHOA_03053","LNFOPOPD_02282","LNNOOKGB_00622","OHGNPAHP_01000","GLJEHEMI_01392","KBLPGKMM_00734","FIBKOHBH_03030","KLKGDDID_01364","KHAGAGIB_01271","DLEBNIDD_01906","IJNFKBKA_02678","FHJCNOBE_00770","CLBIFFHN_01545","FBFFAOJI_01850","BCOIPCNK_00620"
"ybeM","","Deaminated glutathione amidase",581,581,1,1,367,NA,NA,"",788,788,788,"NHHFDHOA_02524","LNFOPOPD_03233","LNNOOKGB_02900","OHGNPAHP_04021","GLJEHEMI_03799","KBLPGKMM_02717","FIBKOHBH_02168","KLKGDDID_03842","KHAGAGIB_03305","DLEBNIDD_01437","IJNFKBKA_01893","FHJCNOBE_03485","CLBIFFHN_00731","FBFFAOJI_03778","BCOIPCNK_02748"
"rstA","","Transcriptional regulatory protein RstA",581,581,1,1,5161,NA,NA,"",731,731,731,"NHHFDHOA_00456","LNFOPOPD_01586","LNNOOKGB_01192","OHGNPAHP_00940","GLJEHEMI_00395","KBLPGKMM_03634","FIBKOHBH_00672","KLKGDDID_00353","KHAGAGIB_01626","DLEBNIDD_00308","IJNFKBKA_03113","FHJCNOBE_04159","CLBIFFHN_01485","FBFFAOJI_00012","BCOIPCNK_01566"
