"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU8","SRR13643357","SRR5905013","SRR5350414","SRR3000883","SRR16297813","SRR14766377","SRR14766364","SRR1556977","SRR28412144","NDSU12","SRR13641927","SRR19397116","SRR14766330","SRR14766433"
"rhmR_2","","putative HTH-type transcriptional regulator RhmR",579,579,1,1,3775,NA,NA,"",782,782,782,"CDDPGOFG_00321","MCHABJHI_03029","PNLCLONJ_00596","ILNMAOIA_00890","PHBHKDKN_01950","GDLLMNMD_01740","JHIODDIP_01984","KBJJGPAO_02116","KLKGDDID_04338","GLCMENJN_02604","KMJDPIGG_03209","KCFKLOLI_02693","KKIADDGI_03091","POPOBFCK_01778","JOCLDNKJ_04130"
"nlpD_1","","Murein hydrolase activator NlpD",579,579,1,1,2990,NA,NA,"",461,1133,1130,"CDDPGOFG_03023","MCHABJHI_01179","PNLCLONJ_03433","ILNMAOIA_01445","PHBHKDKN_02094","GDLLMNMD_02167","JHIODDIP_00234","KBJJGPAO_00512","KLKGDDID_00977","GLCMENJN_01185","KMJDPIGG_01277","KCFKLOLI_00436","KKIADDGI_01726","POPOBFCK_03299","JOCLDNKJ_00849"
"pncC_3","","Nicotinamide-nucleotide amidohydrolase PncC",579,579,1,1,3776,NA,NA,"",1196,1196,1196,"CDDPGOFG_00320","MCHABJHI_03028","PNLCLONJ_00595","ILNMAOIA_00891","PHBHKDKN_01949","GDLLMNMD_01741","JHIODDIP_01985","KBJJGPAO_02115","KLKGDDID_04337","GLCMENJN_02603","KMJDPIGG_03208","KCFKLOLI_02692","KKIADDGI_03090","POPOBFCK_01779","JOCLDNKJ_04129"
"group_2761","","hypothetical protein",579,579,1,1,3777,NA,NA,"",566,566,566,"CDDPGOFG_00319","MCHABJHI_03027","PNLCLONJ_00594","ILNMAOIA_00892","PHBHKDKN_01948","GDLLMNMD_01742","JHIODDIP_01986","KBJJGPAO_02114","KLKGDDID_04336","GLCMENJN_02602","KMJDPIGG_03207","KCFKLOLI_02691","KKIADDGI_03089","POPOBFCK_01780","JOCLDNKJ_04128"
"nudI","","Nucleoside triphosphatase NudI",579,579,1,1,3842,NA,NA,"",425,425,425,"CDDPGOFG_00318","MCHABJHI_03026","PNLCLONJ_00593","ILNMAOIA_00893","PHBHKDKN_01947","GDLLMNMD_01743","JHIODDIP_01987","KBJJGPAO_02113","KLKGDDID_04335","GLCMENJN_02601","KMJDPIGG_03206","KCFKLOLI_02690","KKIADDGI_03088","POPOBFCK_01781","JOCLDNKJ_04127"
"ais","","Lipopolysaccharide core heptose(II)-phosphate phosphatase",579,579,1,1,3848,NA,NA,"",605,605,605,"CDDPGOFG_00317","MCHABJHI_03025","PNLCLONJ_00592","ILNMAOIA_00894","PHBHKDKN_01946","GDLLMNMD_01744","JHIODDIP_01988","KBJJGPAO_02112","KLKGDDID_02634","GLCMENJN_02600","KMJDPIGG_03205","KCFKLOLI_02689","KKIADDGI_03087","POPOBFCK_01782","JOCLDNKJ_04126"
"arnB","","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase",579,579,1,1,3849,NA,NA,"",1139,1139,1139,"CDDPGOFG_00316","MCHABJHI_03024","PNLCLONJ_00591","ILNMAOIA_00895","PHBHKDKN_01945","GDLLMNMD_01745","JHIODDIP_01989","KBJJGPAO_02111","KLKGDDID_02635","GLCMENJN_02599","KMJDPIGG_03204","KCFKLOLI_02688","KKIADDGI_03086","POPOBFCK_01783","JOCLDNKJ_04125"
"arnC","","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase",579,579,1,1,3850,NA,NA,"",983,983,983,"CDDPGOFG_00315","MCHABJHI_03023","PNLCLONJ_00590","ILNMAOIA_00896","PHBHKDKN_01944","GDLLMNMD_01746","JHIODDIP_01990","KBJJGPAO_02110","KLKGDDID_02636","GLCMENJN_02598","KMJDPIGG_03203","KCFKLOLI_02687","KKIADDGI_03085","POPOBFCK_01784","JOCLDNKJ_04124"
"arnA","","Bifunctional polymyxin resistance protein ArnA",579,579,1,1,3851,NA,NA,"",1982,1982,1982,"CDDPGOFG_00314","MCHABJHI_03022","PNLCLONJ_00589","ILNMAOIA_00897","PHBHKDKN_01943","GDLLMNMD_01747","JHIODDIP_01991","KBJJGPAO_02109","KLKGDDID_02637","GLCMENJN_02597","KMJDPIGG_03202","KCFKLOLI_02686","KKIADDGI_03084","POPOBFCK_01785","JOCLDNKJ_04123"
"arnD","","putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD",579,579,1,1,3852,NA,NA,"",899,899,899,"CDDPGOFG_00313","MCHABJHI_03021","PNLCLONJ_00588","ILNMAOIA_00898","PHBHKDKN_01942","GDLLMNMD_01748","JHIODDIP_01992","KBJJGPAO_02108","KLKGDDID_02638","GLCMENJN_02596","KMJDPIGG_03201","KCFKLOLI_02685","KKIADDGI_03083","POPOBFCK_01786","JOCLDNKJ_04122"
"arnT","","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase",579,579,1,1,3853,NA,NA,"",1646,1646,1646,"CDDPGOFG_00312","MCHABJHI_03020","PNLCLONJ_00587","ILNMAOIA_00899","PHBHKDKN_01941","GDLLMNMD_01749","JHIODDIP_01993","KBJJGPAO_02107","KLKGDDID_02639","GLCMENJN_02595","KMJDPIGG_03200","KCFKLOLI_02684","KKIADDGI_03082","POPOBFCK_01787","JOCLDNKJ_04121"
"arnE","","putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE",579,579,1,1,3854,NA,NA,"",335,335,335,"CDDPGOFG_00311","MCHABJHI_03019","PNLCLONJ_00586","ILNMAOIA_00900","PHBHKDKN_01940","GDLLMNMD_01750","JHIODDIP_01994","KBJJGPAO_02106","KLKGDDID_02640","GLCMENJN_02594","KMJDPIGG_03199","KCFKLOLI_02683","KKIADDGI_03081","POPOBFCK_01788","JOCLDNKJ_04120"
"arnF","","putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF",579,579,1,1,3855,NA,NA,"",377,377,377,"CDDPGOFG_00310","MCHABJHI_03018","PNLCLONJ_00585","ILNMAOIA_00901","PHBHKDKN_01939","GDLLMNMD_01751","JHIODDIP_01995","KBJJGPAO_02105","KLKGDDID_02641","GLCMENJN_02593","KMJDPIGG_03198","KCFKLOLI_02682","KKIADDGI_03080","POPOBFCK_01789","JOCLDNKJ_04119"
"pmrD","","Signal transduction protein PmrD",579,579,1,1,3856,NA,NA,"",257,257,257,"CDDPGOFG_00309","MCHABJHI_03017","PNLCLONJ_00584","ILNMAOIA_00902","PHBHKDKN_01938","GDLLMNMD_01752","JHIODDIP_01996","KBJJGPAO_02104","KLKGDDID_02642","GLCMENJN_02592","KMJDPIGG_03197","KCFKLOLI_02681","KKIADDGI_03079","POPOBFCK_01790","JOCLDNKJ_04118"
"menE","","2-succinylbenzoate--CoA ligase",579,579,1,1,3857,NA,NA,"",1367,1367,1367,"CDDPGOFG_00308","MCHABJHI_03016","PNLCLONJ_00583","ILNMAOIA_00903","PHBHKDKN_01937","GDLLMNMD_01753","JHIODDIP_01997","KBJJGPAO_02103","KLKGDDID_02643","GLCMENJN_02591","KMJDPIGG_03196","KCFKLOLI_02680","KKIADDGI_03078","POPOBFCK_01791","JOCLDNKJ_04117"
"menB","","1,4-dihydroxy-2-naphthoyl-CoA synthase",579,579,1,1,3860,NA,NA,"",857,857,857,"CDDPGOFG_00306","MCHABJHI_03014","PNLCLONJ_00581","ILNMAOIA_00905","PHBHKDKN_01935","GDLLMNMD_01755","JHIODDIP_01999","KBJJGPAO_02101","KLKGDDID_02645","GLCMENJN_02589","KMJDPIGG_03194","KCFKLOLI_02678","KKIADDGI_03076","POPOBFCK_01793","JOCLDNKJ_04115"
"menH","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",579,579,1,1,3861,NA,NA,"",758,758,758,"CDDPGOFG_00305","MCHABJHI_03013","PNLCLONJ_00580","ILNMAOIA_00906","PHBHKDKN_01934","GDLLMNMD_01756","JHIODDIP_02000","KBJJGPAO_02100","KLKGDDID_02646","GLCMENJN_02588","KMJDPIGG_03193","KCFKLOLI_02677","KKIADDGI_03075","POPOBFCK_01794","JOCLDNKJ_04114"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase",579,579,1,1,3862,NA,NA,"",1670,1670,1670,"CDDPGOFG_00304","MCHABJHI_03012","PNLCLONJ_00579","ILNMAOIA_00907","PHBHKDKN_01933","GDLLMNMD_01757","JHIODDIP_02001","KBJJGPAO_02099","KLKGDDID_02647","GLCMENJN_02587","KMJDPIGG_03192","KCFKLOLI_02676","KKIADDGI_03074","POPOBFCK_01795","JOCLDNKJ_04113"
"elaB","","Protein ElaB",579,579,1,1,3864,NA,NA,"",305,305,305,"CDDPGOFG_00302","MCHABJHI_03010","PNLCLONJ_00577","ILNMAOIA_00909","PHBHKDKN_01931","GDLLMNMD_01759","JHIODDIP_02003","KBJJGPAO_02097","KLKGDDID_02649","GLCMENJN_02585","KMJDPIGG_03190","KCFKLOLI_02674","KKIADDGI_03072","POPOBFCK_01797","JOCLDNKJ_04111"
"elaA","","Protein ElaA",579,579,1,1,3865,NA,NA,"",461,461,461,"CDDPGOFG_00301","MCHABJHI_03009","PNLCLONJ_00576","ILNMAOIA_00910","PHBHKDKN_01930","GDLLMNMD_01760","JHIODDIP_02004","KBJJGPAO_02096","KLKGDDID_02650","GLCMENJN_02584","KMJDPIGG_03189","KCFKLOLI_02673","KKIADDGI_03071","POPOBFCK_01798","JOCLDNKJ_04110"
"rbn","","Ribonuclease BN",579,579,1,1,3866,NA,NA,"",917,917,917,"CDDPGOFG_00300","MCHABJHI_03008","PNLCLONJ_00575","ILNMAOIA_00911","PHBHKDKN_01929","GDLLMNMD_01761","JHIODDIP_02005","KBJJGPAO_02095","KLKGDDID_02651","GLCMENJN_02583","KMJDPIGG_03188","KCFKLOLI_02672","KKIADDGI_03070","POPOBFCK_01799","JOCLDNKJ_04109"
"cheV","","Chemotaxis protein CheV",579,579,1,1,3867,NA,NA,"",1001,1001,1001,"CDDPGOFG_00299","MCHABJHI_03007","PNLCLONJ_00574","ILNMAOIA_00912","PHBHKDKN_01928","GDLLMNMD_01762","JHIODDIP_02006","KBJJGPAO_02094","KLKGDDID_02652","GLCMENJN_02582","KMJDPIGG_03187","KCFKLOLI_02671","KKIADDGI_03069","POPOBFCK_01800","JOCLDNKJ_04108"
"group_2781","","hypothetical protein",579,579,1,1,3868,NA,NA,"",1760,1781,1780,"CDDPGOFG_00298","MCHABJHI_03006","PNLCLONJ_00573","ILNMAOIA_00913","PHBHKDKN_01927","GDLLMNMD_01763","JHIODDIP_02007","KBJJGPAO_02093","KLKGDDID_02653","GLCMENJN_02581","KMJDPIGG_03186","KCFKLOLI_02670","KKIADDGI_03068","POPOBFCK_01801","JOCLDNKJ_04107"
"nuoN","","NADH-quinone oxidoreductase subunit N",579,579,1,1,3869,NA,NA,"",1457,1457,1457,"CDDPGOFG_00297","MCHABJHI_03005","PNLCLONJ_00572","ILNMAOIA_00914","PHBHKDKN_01926","GDLLMNMD_01764","JHIODDIP_02008","KBJJGPAO_02092","KLKGDDID_02654","GLCMENJN_02580","KMJDPIGG_03185","KCFKLOLI_02669","KKIADDGI_03067","POPOBFCK_01802","JOCLDNKJ_04106"
"nuoM","","NADH-quinone oxidoreductase subunit M",579,579,1,1,3870,NA,NA,"",1529,1529,1529,"CDDPGOFG_00296","MCHABJHI_03004","PNLCLONJ_00571","ILNMAOIA_00915","PHBHKDKN_01925","GDLLMNMD_01765","JHIODDIP_02009","KBJJGPAO_02091","KLKGDDID_02655","GLCMENJN_02579","KMJDPIGG_03184","KCFKLOLI_02668","KKIADDGI_03066","POPOBFCK_01803","JOCLDNKJ_04105"
"nuoL","","NADH-quinone oxidoreductase subunit L",579,579,1,1,3871,NA,NA,"",1841,1841,1841,"CDDPGOFG_00295","MCHABJHI_03003","PNLCLONJ_00570","ILNMAOIA_00916","PHBHKDKN_01924","GDLLMNMD_01766","JHIODDIP_02010","KBJJGPAO_02090","KLKGDDID_02656","GLCMENJN_02578","KMJDPIGG_03183","KCFKLOLI_02667","KKIADDGI_03065","POPOBFCK_01804","JOCLDNKJ_04104"
"ackA","","Acetate kinase",579,579,1,1,3892,NA,NA,"",1181,1202,1201,"CDDPGOFG_00277","MCHABJHI_02985","PNLCLONJ_00552","ILNMAOIA_00934","PHBHKDKN_01906","GDLLMNMD_01784","JHIODDIP_02028","KBJJGPAO_02072","KLKGDDID_02674","GLCMENJN_02560","KMJDPIGG_03165","KCFKLOLI_02649","KKIADDGI_03047","POPOBFCK_01822","JOCLDNKJ_04086"
"group_2800","","hypothetical protein",579,579,1,1,3894,NA,NA,"",1520,1520,1520,"CDDPGOFG_00275","MCHABJHI_02983","PNLCLONJ_00550","ILNMAOIA_00936","PHBHKDKN_01904","GDLLMNMD_01786","JHIODDIP_02030","KBJJGPAO_02070","KLKGDDID_02676","GLCMENJN_02558","KMJDPIGG_03163","KCFKLOLI_02647","KKIADDGI_03045","POPOBFCK_01824","JOCLDNKJ_00277"
"ulaA_3","","Ascorbate-specific PTS system EIIC component",579,579,1,1,3898,NA,NA,"",1391,1391,1391,"CDDPGOFG_00272","MCHABJHI_02980","PNLCLONJ_00547","ILNMAOIA_00939","PHBHKDKN_01901","GDLLMNMD_01789","JHIODDIP_02033","KBJJGPAO_02067","KLKGDDID_02679","GLCMENJN_02555","KMJDPIGG_03160","KCFKLOLI_02644","KKIADDGI_03042","POPOBFCK_01827","JOCLDNKJ_00280"
"group_2802","","hypothetical protein",579,579,1,1,3899,NA,NA,"",272,272,272,"CDDPGOFG_00271","MCHABJHI_02979","PNLCLONJ_00546","ILNMAOIA_00940","PHBHKDKN_01900","GDLLMNMD_01790","JHIODDIP_02034","KBJJGPAO_02066","KLKGDDID_02680","GLCMENJN_02554","KMJDPIGG_03159","KCFKLOLI_02643","KKIADDGI_03041","POPOBFCK_01828","JOCLDNKJ_00281"
"ulaC_3","","Ascorbate-specific PTS system EIIA component",579,579,1,1,3901,NA,NA,"",443,443,443,"CDDPGOFG_00270","MCHABJHI_02978","PNLCLONJ_00545","ILNMAOIA_00941","PHBHKDKN_01899","GDLLMNMD_01791","JHIODDIP_02035","KBJJGPAO_02065","KLKGDDID_02681","GLCMENJN_02553","KMJDPIGG_03158","KCFKLOLI_02642","KKIADDGI_03040","POPOBFCK_01829","JOCLDNKJ_00282"
"yfcF","","Glutathione S-transferase YfcF",579,579,1,1,3905,NA,NA,"",644,644,644,"CDDPGOFG_00266","MCHABJHI_02974","PNLCLONJ_00541","ILNMAOIA_00945","PHBHKDKN_01895","GDLLMNMD_01795","JHIODDIP_02039","KBJJGPAO_02061","KLKGDDID_02685","GLCMENJN_02549","KMJDPIGG_03154","KCFKLOLI_02638","KKIADDGI_03036","POPOBFCK_01833","JOCLDNKJ_00286"
"yfcG","","Disulfide-bond oxidoreductase YfcG",579,579,1,1,3906,NA,NA,"",647,647,647,"CDDPGOFG_00265","MCHABJHI_02973","PNLCLONJ_00540","ILNMAOIA_00946","PHBHKDKN_01894","GDLLMNMD_01796","JHIODDIP_02040","KBJJGPAO_02060","KLKGDDID_02686","GLCMENJN_02548","KMJDPIGG_03153","KCFKLOLI_02637","KKIADDGI_03035","POPOBFCK_01834","JOCLDNKJ_00287"
"group_2806","","Epimerase family protein",579,579,1,1,3907,NA,NA,"",893,893,893,"CDDPGOFG_00264","MCHABJHI_02972","PNLCLONJ_00539","ILNMAOIA_00947","PHBHKDKN_01893","GDLLMNMD_01797","JHIODDIP_02041","KBJJGPAO_02059","KLKGDDID_02687","GLCMENJN_02547","KMJDPIGG_03152","KCFKLOLI_02636","KKIADDGI_03034","POPOBFCK_01835","JOCLDNKJ_00288"
"group_2815","","hypothetical protein",579,579,1,1,3970,NA,NA,"",242,242,242,"CDDPGOFG_00209","MCHABJHI_02916","PNLCLONJ_00483","ILNMAOIA_01003","PHBHKDKN_01837","GDLLMNMD_01853","JHIODDIP_02096","KBJJGPAO_03080","KLKGDDID_02743","GLCMENJN_02491","KMJDPIGG_03096","KCFKLOLI_02580","KKIADDGI_02978","POPOBFCK_01891","JOCLDNKJ_00344"
"group_2835","","hypothetical protein",579,579,1,1,4467,NA,NA,"",626,626,626,"CDDPGOFG_04475","MCHABJHI_01652","PNLCLONJ_02426","ILNMAOIA_00468","PHBHKDKN_00683","GDLLMNMD_00248","JHIODDIP_01336","KBJJGPAO_00275","KLKGDDID_02516","GLCMENJN_01602","KMJDPIGG_03649","KCFKLOLI_00916","KKIADDGI_01044","POPOBFCK_00247","JOCLDNKJ_03378"
"group_2836","","hypothetical protein",579,579,1,1,4466,NA,NA,"",1226,1226,1226,"CDDPGOFG_04474","MCHABJHI_01653","PNLCLONJ_02425","ILNMAOIA_00467","PHBHKDKN_00684","GDLLMNMD_00247","JHIODDIP_01335","KBJJGPAO_00276","KLKGDDID_02515","GLCMENJN_01601","KMJDPIGG_03648","KCFKLOLI_00915","KKIADDGI_01045","POPOBFCK_00246","JOCLDNKJ_03377"
"group_2837","","hypothetical protein",579,579,1,1,4465,NA,NA,"",332,332,332,"CDDPGOFG_04473","MCHABJHI_01654","PNLCLONJ_02424","ILNMAOIA_00466","PHBHKDKN_00685","GDLLMNMD_00246","JHIODDIP_01334","KBJJGPAO_00277","KLKGDDID_02514","GLCMENJN_01600","KMJDPIGG_03647","KCFKLOLI_00914","KKIADDGI_01046","POPOBFCK_00245","JOCLDNKJ_03376"
"group_2838","","hypothetical protein",579,579,1,1,4464,NA,NA,"",716,716,716,"CDDPGOFG_04472","MCHABJHI_01655","PNLCLONJ_02423","ILNMAOIA_00465","PHBHKDKN_00686","GDLLMNMD_00245","JHIODDIP_01333","KBJJGPAO_00278","KLKGDDID_02513","GLCMENJN_01599","KMJDPIGG_03646","KCFKLOLI_00913","KKIADDGI_01047","POPOBFCK_00244","JOCLDNKJ_03375"
"group_2839","","hypothetical protein",579,579,1,1,4463,NA,NA,"",1052,1052,1052,"CDDPGOFG_04471","MCHABJHI_01656","PNLCLONJ_02422","ILNMAOIA_00464","PHBHKDKN_00687","GDLLMNMD_00244","JHIODDIP_01332","KBJJGPAO_00279","KLKGDDID_02512","GLCMENJN_01598","KMJDPIGG_03645","KCFKLOLI_00912","KKIADDGI_01048","POPOBFCK_00243","JOCLDNKJ_03374"
"group_2840","","hypothetical protein",579,579,1,1,4462,NA,NA,"",275,275,275,"CDDPGOFG_04470","MCHABJHI_01657","PNLCLONJ_02421","ILNMAOIA_00463","PHBHKDKN_00688","GDLLMNMD_00243","JHIODDIP_01331","KBJJGPAO_00280","KLKGDDID_02511","GLCMENJN_01597","KMJDPIGG_03644","KCFKLOLI_00911","KKIADDGI_01049","POPOBFCK_00242","JOCLDNKJ_03373"
"group_2841","","hypothetical protein",579,579,1,1,4461,NA,NA,"",497,497,497,"CDDPGOFG_04469","MCHABJHI_01658","PNLCLONJ_02420","ILNMAOIA_00462","PHBHKDKN_00689","GDLLMNMD_00242","JHIODDIP_01330","KBJJGPAO_00281","KLKGDDID_02510","GLCMENJN_01596","KMJDPIGG_03643","KCFKLOLI_00910","KKIADDGI_01050","POPOBFCK_00241","JOCLDNKJ_03372"
"group_2842","","hypothetical protein",579,579,1,1,4460,NA,NA,"",2054,2054,2054,"CDDPGOFG_04468","MCHABJHI_01659","PNLCLONJ_02419","ILNMAOIA_00461","PHBHKDKN_00690","GDLLMNMD_00241","JHIODDIP_01329","KBJJGPAO_00282","KLKGDDID_02509","GLCMENJN_01595","KMJDPIGG_03642","KCFKLOLI_00909","KKIADDGI_01051","POPOBFCK_00240","JOCLDNKJ_03371"
"group_2843","","hypothetical protein",579,579,1,1,4459,NA,NA,"",587,587,587,"CDDPGOFG_04467","MCHABJHI_01660","PNLCLONJ_02418","ILNMAOIA_00460","PHBHKDKN_00691","GDLLMNMD_00240","JHIODDIP_01328","KBJJGPAO_00283","KLKGDDID_02508","GLCMENJN_01594","KMJDPIGG_03641","KCFKLOLI_00908","KKIADDGI_01052","POPOBFCK_00239","JOCLDNKJ_03370"
"group_2844","","hypothetical protein",579,579,1,1,4458,NA,NA,"",437,437,437,"CDDPGOFG_04466","MCHABJHI_01661","PNLCLONJ_02417","ILNMAOIA_00459","PHBHKDKN_00692","GDLLMNMD_00239","JHIODDIP_01327","KBJJGPAO_00284","KLKGDDID_02507","GLCMENJN_01593","KMJDPIGG_03640","KCFKLOLI_00907","KKIADDGI_01053","POPOBFCK_00238","JOCLDNKJ_03369"
"group_2845","","hypothetical protein",579,579,1,1,4455,NA,NA,"",431,431,431,"CDDPGOFG_04463","MCHABJHI_01664","PNLCLONJ_02414","ILNMAOIA_00456","PHBHKDKN_00695","GDLLMNMD_00236","JHIODDIP_01324","KBJJGPAO_00287","KLKGDDID_02504","GLCMENJN_01590","KMJDPIGG_03637","KCFKLOLI_00904","KKIADDGI_01056","POPOBFCK_00235","JOCLDNKJ_03366"
"group_2847","","hypothetical protein",579,579,1,1,4451,NA,NA,"",1031,1031,1031,"CDDPGOFG_04460","MCHABJHI_01667","PNLCLONJ_02411","ILNMAOIA_00453","PHBHKDKN_00698","GDLLMNMD_00233","JHIODDIP_01321","KBJJGPAO_00290","KLKGDDID_02501","GLCMENJN_01587","KMJDPIGG_03634","KCFKLOLI_00901","KKIADDGI_01059","POPOBFCK_00232","JOCLDNKJ_03363"
"group_2848","","hypothetical protein",579,579,1,1,4449,NA,NA,"",872,872,872,"CDDPGOFG_04459","MCHABJHI_01668","PNLCLONJ_02410","ILNMAOIA_00452","PHBHKDKN_00699","GDLLMNMD_00232","JHIODDIP_01320","KBJJGPAO_00291","KLKGDDID_02500","GLCMENJN_01586","KMJDPIGG_03633","KCFKLOLI_00900","KKIADDGI_01060","POPOBFCK_00231","JOCLDNKJ_03362"
"group_2850","","hypothetical protein",579,579,1,1,4443,NA,NA,"",974,974,974,"CDDPGOFG_04684","MCHABJHI_01673","PNLCLONJ_02405","ILNMAOIA_00447","PHBHKDKN_00704","GDLLMNMD_00227","JHIODDIP_01315","KBJJGPAO_00296","KLKGDDID_02495","GLCMENJN_01581","KMJDPIGG_03628","KCFKLOLI_00895","KKIADDGI_01065","POPOBFCK_00226","JOCLDNKJ_03357"
"group_2851","","hypothetical protein",579,579,1,1,4442,NA,NA,"",413,413,413,"CDDPGOFG_04683","MCHABJHI_01674","PNLCLONJ_02404","ILNMAOIA_00446","PHBHKDKN_00705","GDLLMNMD_00226","JHIODDIP_01314","KBJJGPAO_00297","KLKGDDID_02494","GLCMENJN_01580","KMJDPIGG_03627","KCFKLOLI_00894","KKIADDGI_01066","POPOBFCK_00225","JOCLDNKJ_03356"
"group_2852","","hypothetical protein",579,579,1,1,4441,NA,NA,"",551,551,551,"CDDPGOFG_04682","MCHABJHI_01675","PNLCLONJ_02403","ILNMAOIA_00445","PHBHKDKN_00706","GDLLMNMD_00225","JHIODDIP_01313","KBJJGPAO_00298","KLKGDDID_02493","GLCMENJN_01579","KMJDPIGG_03626","KCFKLOLI_00893","KKIADDGI_01067","POPOBFCK_00224","JOCLDNKJ_03355"
"group_2853","","hypothetical protein",579,579,1,1,4440,NA,NA,"",614,614,614,"CDDPGOFG_04681","MCHABJHI_01676","PNLCLONJ_02402","ILNMAOIA_00444","PHBHKDKN_00707","GDLLMNMD_00224","JHIODDIP_01312","KBJJGPAO_00299","KLKGDDID_02492","GLCMENJN_01578","KMJDPIGG_03625","KCFKLOLI_00892","KKIADDGI_01068","POPOBFCK_00223","JOCLDNKJ_03354"
"group_2854","","hypothetical protein",579,579,1,1,4439,NA,NA,"",347,347,347,"CDDPGOFG_04680","MCHABJHI_01677","PNLCLONJ_02401","ILNMAOIA_00443","PHBHKDKN_00708","GDLLMNMD_00223","JHIODDIP_01311","KBJJGPAO_00300","KLKGDDID_02491","GLCMENJN_01577","KMJDPIGG_03624","KCFKLOLI_00891","KKIADDGI_01069","POPOBFCK_00222","JOCLDNKJ_03353"
"group_2865","","hypothetical protein",579,579,1,1,4412,NA,NA,"",248,248,248,"CDDPGOFG_04653","MCHABJHI_01699","PNLCLONJ_02379","ILNMAOIA_00421","PHBHKDKN_00729","GDLLMNMD_00201","JHIODDIP_01290","KBJJGPAO_00321","KLKGDDID_02470","GLCMENJN_01556","KMJDPIGG_03603","KCFKLOLI_00870","KKIADDGI_01090","POPOBFCK_00201","JOCLDNKJ_03331"
"asnS","","Asparagine--tRNA ligase",579,579,1,1,4406,NA,NA,"",1400,1400,1400,"CDDPGOFG_02694","MCHABJHI_01705","PNLCLONJ_02373","ILNMAOIA_00415","PHBHKDKN_00735","GDLLMNMD_00195","JHIODDIP_01284","KBJJGPAO_00327","KLKGDDID_02464","GLCMENJN_01550","KMJDPIGG_03597","KCFKLOLI_00864","KKIADDGI_01096","POPOBFCK_00195","JOCLDNKJ_03325"
"group_2888","","hypothetical protein",579,579,1,1,4291,NA,NA,"",197,197,197,"CDDPGOFG_02600","MCHABJHI_01809","PNLCLONJ_02142","ILNMAOIA_03714","PHBHKDKN_00839","GDLLMNMD_00091","JHIODDIP_01180","KBJJGPAO_00431","KLKGDDID_02360","GLCMENJN_01446","KMJDPIGG_03493","KCFKLOLI_00760","KKIADDGI_01200","POPOBFCK_00091","JOCLDNKJ_03521"
"gnd","","6-phosphogluconate dehydrogenase, decarboxylating",579,579,1,1,5746,NA,NA,"",1406,1406,1406,"CDDPGOFG_01444","MCHABJHI_03543","PNLCLONJ_02861","ILNMAOIA_04019","PHBHKDKN_03145","GDLLMNMD_03533","JHIODDIP_01878","KBJJGPAO_00834","KLKGDDID_03439","GLCMENJN_03454","KMJDPIGG_03314","KCFKLOLI_03256","KKIADDGI_03284","POPOBFCK_02908","JOCLDNKJ_03122"
"putP","","Sodium/proline symporter",579,579,1,1,4546,NA,NA,"",1508,1508,1508,"","MCHABJHI_01579","PNLCLONJ_02499","ILNMAOIA_00541","PHBHKDKN_00610","GDLLMNMD_00321","JHIODDIP_01409","KBJJGPAO_03946","KLKGDDID_02589","GLCMENJN_01675","KMJDPIGG_04064","KCFKLOLI_00989","KKIADDGI_00971","POPOBFCK_00320","JOCLDNKJ_04080"
"nanE","","Putative N-acetylmannosamine-6-phosphate 2-epimerase",579,579,1,1,4551,NA,NA,"",680,680,680,"CDDPGOFG_04600","MCHABJHI_01574","PNLCLONJ_02504","ILNMAOIA_00546","PHBHKDKN_00605","GDLLMNMD_00326","JHIODDIP_01414","KBJJGPAO_03951","KLKGDDID_02594","GLCMENJN_01680","KMJDPIGG_04059","KCFKLOLI_00994","KKIADDGI_00966","POPOBFCK_00325","JOCLDNKJ_04075"
"nanT_2","","Sialic acid transporter NanT",579,579,1,1,4554,NA,NA,"",791,791,791,"CDDPGOFG_04603","MCHABJHI_01571","PNLCLONJ_02507","ILNMAOIA_00549","PHBHKDKN_00602","GDLLMNMD_00329","JHIODDIP_01417","KBJJGPAO_03954","KLKGDDID_02597","GLCMENJN_01683","KMJDPIGG_04056","KCFKLOLI_00997","KKIADDGI_00963","POPOBFCK_00328","JOCLDNKJ_04072"
